Simulation_number,Number_of_classes,BLRT_p_value
236,1,0
236,2,0
236,3,0
236,4,0
236,5,0.01
236,6,0.286
237,1,0
237,2,0
237,3,0
237,4,0
237,5,0.016
237,6,0.646
238,1,0
238,2,0
238,3,0
238,4,0
238,5,0
238,6,0.9
239,1,0
239,2,0
239,3,0
239,4,0
239,5,0.02
239,6,0.828
240,1,0
240,2,0
240,3,0
240,4,0
240,5,0.002
240,6,0.482
241,1,0
241,2,0
241,3,0
241,4,0
241,5,0.042
241,6,0.424
242,1,0
242,2,0
242,3,0
242,4,0
242,5,0.452
242,6,0.904
243,1,0
243,2,0
243,3,0
243,4,0
243,5,0.036
243,6,0.128
244,1,0
244,2,0
244,3,0
244,4,0
244,5,0.24
244,6,0.602
245,1,0
245,2,0
245,3,0
245,4,0
245,5,0.038
245,6,0.632
246,1,0
246,2,0
246,3,0
246,4,0
246,5,0.008
246,6,0.666
247,1,0
247,2,0
247,3,0
247,4,0
247,5,0.002
247,6,0.656
248,1,0
248,2,0
248,3,0
248,4,0
248,5,0.026
248,6,0.412
249,1,0
249,2,0
249,3,0
249,4,0
249,5,0.44
249,6,0.696
250,1,0
250,2,0
250,3,0
250,4,0
250,5,0.438
250,6,0.57
251,1,0
251,2,0
251,3,0
251,4,0
251,5,0.004
251,6,0.122
252,1,0
252,2,0
252,3,0
252,4,0
252,5,0.008
252,6,0.97
253,1,0
253,2,0
253,3,0
253,4,0
253,5,0.576
253,6,0.784
254,1,0
254,2,0
254,3,0
254,4,0
254,5,0.168
254,6,0.692
255,1,0
255,2,0
255,3,0
255,4,0
255,5,0.814
255,6,0.794
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0.28
256,6,0.886
257,1,0
257,2,0
257,3,0
257,4,0
257,5,0.306
257,6,0.446
258,1,0
258,2,0
258,3,0
258,4,0
258,5,0.342
258,6,0.464
259,1,0
259,2,0
259,3,0
259,4,0
259,5,0.042
259,6,0.906
260,1,0
260,2,0
260,3,0
260,4,0
260,5,0.034
260,6,0.106
261,1,0
261,2,0
261,3,0
261,4,0
261,5,0
261,6,0.018
262,1,0
262,2,0
262,3,0
262,4,0
262,5,0.466
262,6,0.39
263,1,0
263,2,0
263,3,0
263,4,0
263,5,0.438
263,6,0.598
264,1,0
264,2,0
264,3,0
264,4,0
264,5,0
264,6,0.64
265,1,0
265,2,0
265,3,0
265,4,0
265,5,0.006
265,6,0.354
266,1,0
266,2,0
266,3,0
266,4,0
266,5,0.168
266,6,0.518
267,1,0
267,2,0
267,3,0
267,4,0
267,5,0.022
267,6,0.984
268,1,0
268,2,0
268,3,0
268,4,0
268,5,0.08
268,6,0.798
269,1,0
269,2,0
269,3,0
269,4,0
269,5,0.5600000000000001
269,6,0.536
270,1,0
270,2,0
270,3,0
270,4,0
270,5,0.632
270,6,0.754
271,1,0
271,2,0
271,3,0
271,4,0
271,5,0.024
271,6,0.338
272,1,0
272,2,0
272,3,0
272,4,0
272,5,0.292
272,6,0.8020000000000001
273,1,0
273,2,0
273,3,0
273,4,0
273,5,0.076
273,6,0.862
274,1,0
274,2,0
274,3,0
274,4,0
274,5,0.142
274,6,0.54
275,1,0
275,2,0
275,3,0
275,4,0
275,5,0.466
275,6,0.826
276,1,0
276,2,0
276,3,0
276,4,0
276,5,0.008
276,6,0.482
277,1,0
277,2,0
277,3,0
277,4,0
277,5,0.546
277,6,0.954
278,1,0
278,2,0
278,3,0
278,4,0
278,5,0.168
278,6,0.83
279,1,0
279,2,0
279,3,0
279,4,0
279,5,0.244
279,6,0.786
280,1,0
280,2,0
280,3,0
280,4,0
280,5,0.048
280,6,0.584
281,1,0
281,2,0
281,3,0
281,4,0
281,5,0.174
281,6,0.368
282,1,0
282,2,0
282,3,0
282,4,0
282,5,0.18
282,6,0.832
283,1,0
283,2,0
283,3,0
283,4,0
283,5,0.164
283,6,0.25
284,1,0
284,2,0
284,3,0
284,4,0
284,5,0.14
284,6,0.796
285,1,0
285,2,0
285,3,0
285,4,0
285,5,0.164
285,6,0.996
286,1,0
286,2,0
286,3,0
286,4,0
286,5,0.212
286,6,0.466
287,1,0
287,2,0
287,3,0
287,4,0
287,5,0.072
287,6,0.706
288,1,0
288,2,0
288,3,0
288,4,0
288,5,0.072
288,6,0.388
289,1,0
289,2,0
289,3,0
289,4,0
289,5,0.038
289,6,0.538
290,1,0
290,2,0
290,3,0
290,4,0
290,5,0.896
290,6,0.9
291,1,0
291,2,0
291,3,0
291,4,0
291,5,0.468
291,6,0.968
292,1,0
292,2,0
292,3,0
292,4,0
292,5,0.86
292,6,0.862
293,1,0
293,2,0
293,3,0
293,4,0
293,5,0
293,6,0.462
294,1,0
294,2,0
294,3,0
294,4,0
294,5,0.028
294,6,0.01
295,1,0
295,2,0
295,3,0
295,4,0
295,5,0.598
295,6,0.97
296,1,0
296,2,0
296,3,0
296,4,0
296,5,0.502
296,6,0.704
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0.04
297,6,0.386
298,1,0
298,2,0
298,3,0
298,4,0
298,5,0.02
298,6,0.522
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0.586
299,6,0.766
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0.056
300,6,0.234
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0.24
301,6,0.85
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0.546
302,6,0.69
303,1,0
303,2,0
303,3,0
303,4,0
303,5,0.8060000000000001
303,6,0.372
304,1,0
304,2,0
304,3,0
304,4,0
304,5,0.524
304,6,0.382
305,1,0
305,2,0
305,3,0
305,4,0
305,5,0.168
305,6,0.452
306,1,0
306,2,0
306,3,0
306,4,0
306,5,0.074
306,6,0.664
307,1,0
307,2,0
307,3,0
307,4,0
307,5,0.19
307,6,0.444
308,1,0
308,2,0
308,3,0
308,4,0
308,5,0.04
308,6,0.578
309,1,0
309,2,0
309,3,0
309,4,0
309,5,0.83
309,6,0.868
310,1,0
310,2,0
310,3,0
310,4,0
310,5,0.06800000000000001
310,6,0.75
311,1,0
311,2,0
311,3,0
